 Title Location eBaySite StartDateTime EndDateTime Category ListingType ItemCondition ListingSold ShippingLocations ShippingCost EndingPrice Currency
24 "NES NINTENDO GAME  ~~  TEENAGE MUTANT NINJA TURTLES" Aspley,QLD,Australia EBAY-AU 2016-03-27T21:11:56.000Z 2016-04-03T21:11:56.000Z Games StoreInventory 5000 EndedWithoutSales Worldwide 0.0 28.95 AUD
25 "NES NINTENDO GAME - Teenage Mutant Ninja Turtles" "Mount Waverley,VIC,Australia" EBAY-AU 2016-03-27T05:00:57.000Z 2016-04-03T05:00:57.000Z Games AuctionWithBIN 4000 EndedWithoutSales AU 8.25 20.0 AUD
26 "Teenage Mutant Ninja Turtles (Nintendo NES, 1985)" "St Clair,NSW,Australia" EBAY-AU 2016-03-29T04:45:47.000Z 2016-04-03T04:45:47.000Z Games Auction 5000 EndedWithoutSales AU 9.95 19.95 AUD
27 "Teenage Mutant Ninja Turtles II Arcade Game Nintendo NES Game, Vintage!" Colac,VIC,Australia EBAY-AU 2016-03-29T22:36:06.000Z 2016-04-01T08:19:30.000Z Games FixedPrice 5000 EndedWithoutSales AU 7.5 60.0 AUD
28 "Teenage Mutant Ninja Turtles (TMNT)   (Nintendo NES, )" Beaufort,VIC,Australia EBAY-AU 2016-03-21T04:33:33.000Z 2016-03-31T04:33:33.000Z "Other Video Games" AuctionWithBIN 3000 EndedWithoutSales Worldwide 0 70.0 AUD
29 "Teenage Mutant Ninja Turtles (Nintendo (NES), PAL)" Mudgeeraba,QLD,Australia EBAY-AU 2016-03-21T04:32:19.000Z 2016-03-31T04:32:19.000Z Games Auction 5000 EndedWithoutSales AU 11.0 25.0 AUD
30 "TMNT Nes In Box" Melbourne,VIC,Australia EBAY-AU 2016-03-20T10:22:50.000Z 2016-03-30T10:22:50.000Z Games Auction 5000 EndedWithSales AU 8.0 30.0 AUD
31 "Nintendo NES PAL A CIB Teenage Mutant Ninja Turtles TMNT" Australia EBAY-AU 2016-03-19T06:44:44.000Z 2016-03-29T06:44:44.000Z Games StoreInventory 5000 EndedWithoutSales Worldwide 8.25 95.0 AUD
32 "NES NINTENDO GAME  ~~  TEENAGE MUTANT NINJA TURTLES" Aspley,QLD,Australia EBAY-AU 2016-03-20T12:26:50.000Z 2016-03-27T12:26:50.000Z Games StoreInventory 5000 EndedWithoutSales Worldwide 0.0 28.95 AUD
33 "TEENAGE MUTANT NINJA TURTLES   Nintendo Entertainment System  NES PAL TMNT" "Shailer Park,QLD,Australia" EBAY-AU 2016-03-20T11:09:38.000Z 2016-03-27T11:09:38.000Z Games Auction 4000 EndedWithSales AU 7.95 12.5 AUD
