 Title Location eBaySite StartDateTime EndDateTime Category ListingType ItemCondition ListingSold ShippingLocations ShippingCost EndingPrice Currency
42 "Teenage Mutant Ninja Turtles Famicom/NES JP GAME." Japan EBAY-US 2016-03-24T01:50:16.000Z 2016-03-29T01:50:16.000Z "Video Gaming Merchandise" Auction 3000 EndedWithSales Worldwide 9.76 2.67 GBP
43 "teenage mutant hero turtles nintendo nes game ninja turtles nes game pal" "Andover,United Kingdom" EBAY-GB 2016-03-21T20:35:21.000Z 2016-03-28T20:35:21.000Z Games Auction 4000 EndedWithSales GB 2.8 4.45 GBP
44 "TEENAGE MUTANT HERO TURTLES - Nintendo Entertainment System (NES) Game (NINJA)" "Ruislip,United Kingdom" EBAY-GB 2016-03-25T19:27:08.000Z 2016-03-28T19:27:08.000Z Games Auction 4000 EndedWithSales Worldwide 1.5 9.0 GBP
45 "Teenage Mutant Ninja Turtles Famicom/NES JP GAME." Japan EBAY-US 2016-03-23T01:53:02.000Z 2016-03-28T01:53:02.000Z "Video Gaming Merchandise" Auction 3000 EndedWithSales Worldwide 9.76 2.41 GBP
46 "Teenage Mutant Ninja Turtles 2 Famicom/NES JP GAME" Japan EBAY-US 2016-03-23T01:50:48.000Z 2016-03-28T01:50:48.000Z "Video Gaming Merchandise" Auction 3000 EndedWithSales Worldwide 9.76 4.68 GBP
47 "Teenage Mutant Ninja Turtles 2 Famicom/NES JP GAME" Japan EBAY-US 2016-03-23T01:20:24.000Z 2016-03-28T01:20:24.000Z "Video Gaming Merchandise" Auction 3000 EndedWithSales Worldwide 9.76 35.57 GBP
48 "Teenage mutant ninja turtles arcade NES game complete" "Bath,United Kingdom" EBAY-GB 2016-03-27T21:19:01.000Z 2016-03-27T21:45:40.000Z Games Auction 5000 EndedWithoutSales GB 0.0 5.0 GBP
49 "pal nintendo nes teenage mutant ninja turtles" "Southampton,United Kingdom" EBAY-GB 2016-03-20T20:00:14.000Z 2016-03-27T20:00:14.000Z Games Auction 4000 EndedWithSales GB 1.99 5.0 GBP
50 "Nintendo Nes Teenage Mutant Ninja Turtles Game" "Ossett,United Kingdom" EBAY-GB 2016-03-17T19:03:41.000Z 2016-03-27T19:03:41.000Z Games Auction 5000 EndedWithSales GB 2.7 16.0 GBP
51 "Nintendo Nes Teenage Mutant Ninja Turtles Game Boxed PAL A" "Southampton,United Kingdom" EBAY-GB 2016-03-22T22:09:05.000Z 2016-03-25T04:07:42.000Z Games FixedPrice 5000 EndedWithSales GB 1.26 17.5 GBP
52 "NES Nintendo Entertainment System Teenage Mutant Ninja Turtles II 2 Boxed- NTSC" "London,United Kingdom" EBAY-GB 2016-03-21T21:18:28.000Z 2016-03-24T21:18:28.000Z Games Auction 5000 EndedWithSales GB 3.5 4.41 GBP
53 "Teenage Mutant Ninja Turtles Famicom/NES JP GAME." Japan EBAY-US 2016-03-19T04:05:01.000Z 2016-03-24T04:05:01.000Z "Video Gaming Merchandise" Auction 3000 EndedWithSales Worldwide 9.76 5.93 GBP
54 "Ninja Turtles Nes FRIDGE MAGNET (2 x 3 inches) video game box teenage mutant" USA EBAY-US 2016-03-14T14:45:17.000Z 2016-03-22T11:31:26.000Z Magnets StoreInventory 1000 EndedWithSales Worldwide 8.95 3.45 GBP
55 "Teenage Mutant Ninja Turtles Famicom/NES JP GAME." Japan EBAY-US 2016-03-16T02:26:02.000Z 2016-03-21T02:26:02.000Z "Video Gaming Merchandise" Auction 3000 EndedWithSales Worldwide 9.76 4.22 GBP
56 "Teenage Mutant Ninja Turtles Famicom/NES JP GAME." Japan EBAY-US 2016-03-15T04:11:12.000Z 2016-03-20T04:11:12.000Z "Video Gaming Merchandise" Auction 3000 EndedWithSales Worldwide 9.76 3.84 GBP
57 "Teenage Mutant Ninja Turtles Famicom/NES JP GAME." Japan EBAY-US 2016-03-15T04:10:05.000Z 2016-03-20T04:10:05.000Z "Video Gaming Merchandise" Auction 3000 EndedWithSales Worldwide 9.76 6.28 GBP
58 "Nintendo Nes Teenage Mutant Ninja Turtles Game Boxed PAL A" "Stoke-on-Trent,United Kingdom" EBAY-GB 2016-03-16T20:47:35.000Z 2016-03-19T20:47:35.000Z Games Auction 5000 EndedWithSales GB 3.0 18.0 GBP
59 "Nintendo Nes Teenage Mutant Ninja Turtles Game Boxed PAL A" "Stoke-on-Trent,United Kingdom" EBAY-GB 2016-03-16T20:42:08.000Z 2016-03-19T20:42:08.000Z Games Auction 5000 EndedWithSales GB 3.0 7.3 GBP
60 "Ninja Turtles 2 FRIDGE MAGNET (2 x 3 inches) video game box nes teenage mutant" USA EBAY-US 2015-11-02T18:49:22.000Z 2016-03-19T01:49:52.000Z Magnets StoreInventory 1000 EndedWithSales Worldwide 8.95 3.45 GBP
61 "RARE Teenage Mutant Ninja Turtles - Nintendo Famiclone / Famicom / NES " Bulgaria EBAY-GB 2016-03-14T23:56:48.000Z 2016-03-18T10:59:40.000Z Games FixedPrice 5000 EndedWithSales Worldwide 0.0 5.0 GBP
62 "TEENAGE MUTANT NINJA TURTLES NES Nintendo Controller Control Pad Overlay Sticker" "Oxford,United Kingdom" EBAY-GB 2016-03-09T18:34:14.000Z 2016-03-17T23:52:36.000Z Controllers FixedPrice 1000 EndedWithSales Worldwide 0.0 3.5 GBP
63 "Teenage Mutant Ninja Turtles | Nintendo NES | Cartridge Only PAL A" "United Kingdom" EBAY-GB 2016-03-11T18:13:22.000Z 2016-03-15T01:42:13.000Z Games StoreInventory 6000 EndedWithSales Worldwide 0.0 8.75 GBP
64 "Teenage Mutant Ninja Turtles Famicom/NES JP GAME." Japan EBAY-US 2016-03-09T07:39:26.000Z 2016-03-14T07:39:26.000Z "Video Gaming Merchandise" Auction 3000 EndedWithSales Worldwide 9.76 5.71 GBP
65 "Teenage Mutant Ninja Turtles Famicom/NES JP GAME." Japan EBAY-US 2016-03-09T07:00:31.000Z 2016-03-14T07:00:31.000Z "Video Gaming Merchandise" Auction 3000 EndedWithSales Worldwide 9.76 4.53 GBP
66 "Teenage Mutant Ninja Turtles Famicom/NES JP GAME." Japan EBAY-US 2016-03-09T04:22:26.000Z 2016-03-14T04:22:26.000Z "Video Gaming Merchandise" Auction 3000 EndedWithSales Worldwide 9.76 23.71 GBP
67 "Teenage Mutant Ninja Turtles 2 Famicom/NES JP GAME" Japan EBAY-US 2016-03-09T04:20:48.000Z 2016-03-14T04:20:48.000Z "Video Gaming Merchandise" Auction 3000 EndedWithSales Worldwide 9.76 57.19 GBP
68 "Teenage Mutant Ninja Turtles Famicom/NES JP GAME." Japan EBAY-US 2016-03-09T03:07:38.000Z 2016-03-14T03:07:38.000Z "Video Gaming Merchandise" Auction 3000 EndedWithSales Worldwide 9.76 4.53 GBP
69 "Teenage Mutant Ninja Turtles for NES complete with box and manual" "Buckfastleigh,United Kingdom" EBAY-GB 2016-03-10T15:00:25.000Z 2016-03-13T15:00:25.000Z Games Auction 5000 EndedWithSales Worldwide 3.5 6.5 GBP
70 "Ninja Turtles Nes FRIDGE MAGNET (2 x 3 inches) video game box teenage mutant" USA EBAY-US 2016-02-15T14:46:21.000Z 2016-03-13T13:40:25.000Z Magnets StoreInventory 1000 EndedWithSales Worldwide 8.95 3.45 GBP
71 "Teenage Mutant Ninja Turtles 2 Famicom/NES JP GAME" Japan EBAY-US 2016-03-08T06:22:01.000Z 2016-03-13T06:22:01.000Z "Video Gaming Merchandise" Auction 3000 EndedWithSales Worldwide 9.76 5.83 GBP
72 "Teenage Mutant Ninja Turtles Famicom/NES JP GAME." Japan EBAY-US 2016-03-08T04:27:23.000Z 2016-03-13T04:27:23.000Z "Video Gaming Merchandise" Auction 3000 EndedWithSales Worldwide 9.76 4.61 GBP
73 "teenage mutant ninja turtles nes " "Watford,United Kingdom" EBAY-GB 2016-03-05T18:41:46.000Z 2016-03-12T23:13:16.000Z Games FixedPrice 5000 EndedWithSales GB 0.0 7.0 GBP
74 "Teenage Mutant Ninja Turtles Nintendo NES (PAL)" "Sheffield,United Kingdom" EBAY-GB 2016-03-05T15:10:41.000Z 2016-03-12T15:10:41.000Z Games Auction 6000 EndedWithSales GB 3.0 7.51 GBP
75 "VINTAGE NINTENDO NES TEENAGE NINJA MUTANT TURTLES GAME CARTRIDGE SNES PAL " "West Bromwich,United Kingdom" EBAY-GB 2016-03-07T09:33:10.000Z 2016-03-09T20:53:56.000Z "TV, Movies & Video Games" StoreInventory 3000 EndedWithSales US 4.0 10.0 GBP
76 "Teenage Mutant Ninja Turtles 2 Famicom/NES JP GAME" Japan EBAY-US 2016-03-03T03:41:49.000Z 2016-03-08T03:41:49.000Z "Video Gaming Merchandise" Auction 3000 EndedWithSales Worldwide 9.76 4.37 GBP
77 "Teenage Mutant Ninja Turtles 2 Famicom/NES JP GAME" Japan EBAY-US 2016-03-03T03:09:58.000Z 2016-03-08T03:09:58.000Z "Video Gaming Merchandise" Auction 3000 EndedWithSales Worldwide 9.76 6.28 GBP
78 "Teenage Mutant Ninja Turtles Famicom/NES JP GAME." Japan EBAY-US 2016-03-02T03:57:19.000Z 2016-03-07T03:57:19.000Z "Video Gaming Merchandise" Auction 3000 EndedWithSales Worldwide 9.76 4.53 GBP
79 "Teenage Mutant Ninja Turtles Famicom/NES JP GAME." Japan EBAY-US 2016-03-01T06:45:19.000Z 2016-03-06T06:45:19.000Z "Video Gaming Merchandise" Auction 3000 EndedWithSales Worldwide 9.76 4.18 GBP
80 "Teenage Mutant Ninja Turtles 2 Famicom/NES JP GAME" Japan EBAY-US 2016-02-28T01:51:48.000Z 2016-03-04T01:51:48.000Z "Video Gaming Merchandise" Auction 3000 EndedWithSales Worldwide 9.76 6.63 GBP
81 "Teenage Mutant Hero Turtles for Nintendo Entertainment System - NES Ninja Turtle" "Hull,United Kingdom" EBAY-GB 2016-02-29T10:07:27.000Z 2016-03-02T12:18:05.000Z Games FixedPrice 6000 EndedWithSales GB 0.0 11.99 GBP
82 "Teenage Mutant Ninja Turtles Famicom/NES JP GAME." Japan EBAY-US 2016-02-26T04:21:36.000Z 2016-03-02T04:21:36.000Z "Video Gaming Merchandise" Auction 3000 EndedWithSales Worldwide 9.76 4.57 GBP
83 "Teenage Mutant Ninja Turtles 2 Famicom/NES JP GAME" Japan EBAY-US 2016-02-24T06:23:51.000Z 2016-02-29T06:23:51.000Z "Video Gaming Merchandise" Auction 3000 EndedWithSales Worldwide 9.76 8.72 GBP
84 "Teenage Mutant Ninja Turtles 2: The Arcade Game PAL NES" "London,United Kingdom" EBAY-GB 2016-02-25T22:09:10.000Z 2016-02-28T22:09:10.000Z Games Auction 5000 EndedWithSales GB 1.26 24.74 GBP
85 "Teenage Mutant Ninja Turtles NES Game Boxed Original" "Winsford,United Kingdom" EBAY-GB 2016-02-23T21:42:32.000Z 2016-02-28T21:42:32.000Z Games Auction 5000 EndedWithSales US 0.0 16.0 GBP
86 "Teenage Mutant Ninja Hero Turtles Nintendo NES" "London,United Kingdom" EBAY-GB 2016-02-21T19:06:16.000Z 2016-02-28T19:06:16.000Z Games Auction 4000 EndedWithSales GB 1.26 7.62 GBP
87 "Teenage Mutant Ninja Turtles 2 The Arcade Game Nintendo NES Boxed TMNT II" "London,United Kingdom" EBAY-GB 2016-02-23T19:00:41.000Z 2016-02-28T19:00:41.000Z Games Auction 4000 EndedWithSales GB 2.5 16.0 GBP
88 "Teenage Mutant Ninja Turtles 2 Famicom/NES JP GAME" Japan EBAY-US 2016-02-23T02:19:16.000Z 2016-02-28T02:19:16.000Z "Video Gaming Merchandise" Auction 3000 EndedWithSales Worldwide 9.76 8.4 GBP
89 "Teenage Mutant Ninja Turtles 2 Famicom/NES JP GAME" Japan EBAY-US 2016-02-23T01:32:46.000Z 2016-02-28T01:32:46.000Z "Video Gaming Merchandise" Auction 3000 EndedWithSales Worldwide 9.76 11.16 GBP
90 "NES Nintendo Entertainment System Teenage Mutant Ninja Turtles II 2 Boxed- NTSC" "Hounslow,United Kingdom" EBAY-GB 2016-01-29T14:54:54.000Z 2016-02-26T08:25:15.000Z Games FixedPrice 5000 EndedWithSales GB 0.0 29.99 GBP
91 "Teenage mutant ninja turtles nes nintendo " "Betchworth,United Kingdom" EBAY-GB 2016-02-11T22:46:04.000Z 2016-02-21T22:46:04.000Z Games Auction 4000 EndedWithSales GB 2.5 10.5 GBP
92 "Teenage Mutant Ninja Turtles 2 Nes" "Leicester,United Kingdom" EBAY-GB 2016-02-10T12:37:14.000Z 2016-02-17T11:31:50.000Z Games FixedPrice 5000 EndedWithSales GB 1.26 20.0 GBP
93 "Teenage Mutant Ninja Turtles 2 Famicom/NES JP GAME" Japan EBAY-US 2016-02-11T04:09:49.000Z 2016-02-16T04:09:49.000Z "Video Gaming Merchandise" Auction 3000 EndedWithSales Worldwide 9.76 7.32 GBP
94 "Nintendo Nes Teenage Mutant Ninja Turtles TMNT" "Stoke-on-Trent,United Kingdom" EBAY-GB 2016-02-08T21:49:31.000Z 2016-02-15T21:49:31.000Z Games Auction 6000 EndedWithSales Worldwide 2.8 5.5 GBP
95 "Teenage Mutant Ninja Turtles 2 Famicom/NES JP GAME" Japan EBAY-US 2016-02-10T05:36:01.000Z 2016-02-15T05:36:01.000Z "Video Gaming Merchandise" Auction 3000 EndedWithSales Worldwide 9.76 9.41 GBP
96 "Teenage Mutant Ninja Turtles game (PAL) for Nintendo Entertainment System (NES)" "Colyton,United Kingdom" EBAY-GB 2016-02-07T20:32:58.000Z 2016-02-14T20:32:58.000Z Games Auction 6000 EndedWithSales EuropeanUnion 2.75 16.75 GBP
97 "Ninja Turtles Nes FRIDGE MAGNET (2 x 3 inches) video game box teenage mutant" USA EBAY-US 2016-01-27T17:50:15.000Z 2016-02-13T05:44:46.000Z Magnets StoreInventory 1000 EndedWithSales Worldwide 8.95 3.45 GBP
98 "Teenage mutant ninja turtles nes nintendo " "Hull,United Kingdom" EBAY-GB 2016-02-11T19:58:41.000Z 2016-02-12T19:58:41.000Z Games Auction 6000 EndedWithSales GB 3.0 9.5 GBP
99 "Teenage Mutant Ninja Turtles - Nintendo NES - FREE postage" "Wells,United Kingdom" EBAY-GB 2016-02-05T11:50:02.000Z 2016-02-11T15:10:10.000Z Games StoreInventory 5000 EndedWithSales GB 0.0 9.99 GBP
100 "Teenage Mutant Ninja Turtles Famicom/NES JP GAME." Japan EBAY-US 2016-02-05T05:05:22.000Z 2016-02-10T05:05:22.000Z "Video Gaming Merchandise" Auction 3000 EndedWithSales Worldwide 9.76 8.72 GBP
101 "Teenage Mutant Ninja Turtles 2 Famicom/NES JP GAME" Japan EBAY-US 2016-02-05T03:10:13.000Z 2016-02-10T03:10:13.000Z "Video Gaming Merchandise" Auction 3000 EndedWithSales Worldwide 9.76 11.51 GBP
102 "Teenage Mutant Ninja Turtles 2 Famicom/NES JP GAME" Japan EBAY-US 2016-02-04T03:25:57.000Z 2016-02-09T03:25:57.000Z "Video Gaming Merchandise" Auction 3000 EndedWithSales Worldwide 9.76 4.6 GBP
103 "Teenage Mutant Ninja Turtles 2 Famicom/NES JP GAME" Japan EBAY-US 2016-02-03T01:25:02.000Z 2016-02-08T01:25:02.000Z "Video Gaming Merchandise" Auction 3000 EndedWithSales Worldwide 9.76 7.67 GBP
104 "TEENAGE MUTANT NINJA TURTLES NES Nintendo Controller Control Pad Overlay Sticker" "Oxford,United Kingdom" EBAY-GB 2016-01-08T23:16:00.000Z 2016-02-07T23:16:00.000Z Controllers FixedPrice 1000 EndedWithSales Worldwide 0.0 3.5 GBP
105 "Nintendo Famicom NES (NTSC-J) FC Teenage Mutant Ninja Turtles" "Orpington,United Kingdom" EBAY-GB 2016-01-28T15:50:12.000Z 2016-02-07T17:59:54.000Z Games StoreInventory 6000 EndedWithSales Europe 0.0 11.0 GBP
106 "Teenage Mutant Ninja Turtles 2 The Arcade Game Boxed Nintendo Nes" "Colchester,United Kingdom" EBAY-GB 2016-01-31T17:27:57.000Z 2016-02-07T17:27:57.000Z Games Auction 5000 EndedWithSales GB 3.5 31.0 GBP
107 "Teenage Mutant Ninja Turtles Famicom/NES JP GAME." Japan EBAY-US 2016-02-02T01:25:47.000Z 2016-02-07T01:25:47.000Z "Video Gaming Merchandise" Auction 3000 EndedWithSales Worldwide 9.76 4.88 GBP
108 "Teenage Mutant Ninja Turtles 2: The Arcade Game PAL NES" "London,United Kingdom" EBAY-GB 2016-01-30T14:02:31.000Z 2016-02-06T14:02:31.000Z Games Auction 5000 EndedWithSales GB 3.3 26.0 GBP
109 "Teenage Mutant Ninja Turtles 2 Famicom/NES JP GAME" Japan EBAY-US 2016-01-30T02:04:14.000Z 2016-02-04T02:04:14.000Z "Video Gaming Merchandise" Auction 3000 EndedWithSales Worldwide 9.76 6.97 GBP
110 "Teenage Mutant Ninja Turtles Famicom/NES JP GAME." Japan EBAY-US 2016-01-30T00:16:45.000Z 2016-02-04T00:16:45.000Z "Video Gaming Merchandise" Auction 3000 EndedWithSales Worldwide 9.76 3.84 GBP
111 "Teenage Mutant Ninja Turtles Famicom/NES JP GAME." Japan EBAY-US 2016-01-29T00:28:12.000Z 2016-02-03T00:28:12.000Z "Video Gaming Merchandise" Auction 3000 EndedWithSales Worldwide 9.76 4.53 GBP
112 "NINTENDO NES - NTSC - BOXED - TEENAGE MUTANT NINJA TURTLES 2 THE ARCADE GAME" "Stevenage,United Kingdom" EBAY-GB 2016-01-30T20:23:54.000Z 2016-02-02T20:23:54.000Z Games Auction 5000 EndedWithSales Worldwide 2.4 36.0 GBP
113 "NINTENDO NES - NTSC - BOXED - TMNT - TEENAGE MUTANT NINJA TURTLES" "Stevenage,United Kingdom" EBAY-GB 2016-01-30T20:20:54.000Z 2016-02-02T20:20:54.000Z Games Auction 5000 EndedWithSales Worldwide 2.4 23.0 GBP
114 "Teenage Mutant Ninja Turtles Famicom/NES JP GAME." Japan EBAY-US 2016-01-27T08:26:02.000Z 2016-02-01T08:26:02.000Z "Video Gaming Merchandise" Auction 3000 EndedWithSales Worldwide 9.76 3.84 GBP
115 "Teenage Mutant Ninja Turtles 2 Famicom/NES JP GAME" Japan EBAY-US 2016-01-27T06:54:57.000Z 2016-02-01T06:54:57.000Z "Video Gaming Merchandise" Auction 3000 EndedWithSales Worldwide 9.76 9.76 GBP
116 "Teenage Mutant Ninja Turtles Famicom/NES JP GAME." Japan EBAY-US 2016-01-24T03:39:05.000Z 2016-01-29T03:39:05.000Z "Video Gaming Merchandise" Auction 3000 EndedWithSales Worldwide 9.76 3.84 GBP
117 "Teenage Mutant Ninja Turtles Famicom/NES JP GAME." Japan EBAY-US 2016-01-24T01:09:51.000Z 2016-01-29T01:09:51.000Z "Video Gaming Merchandise" Auction 3000 EndedWithSales Worldwide 9.76 3.49 GBP
118 "TMNT Teenage Mutant Ninja Turtles NES" "Oldham,United Kingdom" EBAY-GB 2016-01-24T20:10:34.000Z 2016-01-28T23:04:37.000Z Games FixedPrice 5000 EndedWithSales GB 0.0 7.0 GBP
119 "Ninja Turtles Nes FRIDGE MAGNET (2 x 3 inches) video game box teenage mutant" USA EBAY-US 2015-12-17T02:52:32.000Z 2016-01-27T03:53:37.000Z Magnets StoreInventory 1000 EndedWithSales Worldwide 8.95 3.45 GBP
120 "Teenage Mutant Ninja Turtles 1, 2 and 3 bundle - Nintendo NES NTSC-U" "Ely,United Kingdom" EBAY-GB 2016-01-24T20:28:46.000Z 2016-01-26T19:37:25.000Z Games FixedPrice 6000 EndedWithSales GB 3.5 40.0 GBP
121 "Teenage Mutant Ninja Turtles 2 Famicom/NES JP GAME" Japan EBAY-US 2016-01-21T06:04:21.000Z 2016-01-26T06:04:21.000Z "Video Gaming Merchandise" Auction 3000 EndedWithSales Worldwide 9.76 8.02 GBP
122 "Teenage mutant ninja turtles - famiclone nes famicom dendy" "Runcorn,United Kingdom" EBAY-GB 2015-12-26T22:22:48.000Z 2016-01-25T17:22:48.000Z Games FixedPrice 5000 EndedWithSales GB 0.0 5.0 GBP
123 "Teenage Mutant Hero Turtles NINTENDO NES PAL GAME Ninja Box & Protector " "Kettering,United Kingdom" EBAY-GB 2016-01-23T14:48:52.000Z 2016-01-24T20:28:25.000Z Games FixedPrice 6000 EndedWithSales GB 2.0 3.5 GBP
124 "Teenage Mutant Ninja Turtles Famicom/NES JP GAME." Japan EBAY-US 2016-01-19T05:23:32.000Z 2016-01-24T05:23:32.000Z "Video Gaming Merchandise" Auction 3000 EndedWithSales Worldwide 9.76 3.84 GBP
0 "Jeu Nintendo NES Teenage Mutant Hero Turtles TMHT Tortue Ninja Version PAL FRA" Francia EBAY-FR 2016-04-15T16:52:08.000Z 2016-04-21T22:56:07.000Z Jeux StoreInventory 5000 EndedWithSales Worldwide 9.0 9.99 EUR
1 "TEENAGE Mutant Hero Ninja Turtles-TMNT-NINTENDO-NES completo di scatola e istruz" Catania,Italia EBAY-IT 2016-04-11T20:34:46.000Z 2016-04-21T20:34:46.000Z Giochi FixedPrice 5000 EndedWithoutSales IT 10.0 35.0 EUR
2 "Jeu Nintendo NES Teenage Mutant Hero Turtles TMHT Tortue Ninja Version PAL FRA" Francia EBAY-FR 2016-04-18T12:16:55.000Z 2016-04-21T12:16:55.000Z Jeux AuctionWithBIN 5000 EndedWithoutSales Worldwide 21.0 5.0 EUR
3 "TEENAGE MUTANT NINJA TURTLES NES Nintendo Controller Control Pad Overlay Sticker" "Regno Unito" EBAY-GB 2016-04-20T13:36:46.000Z 2016-04-21T05:49:31.000Z Controllers FixedPrice 1000 EndedWithoutSales Worldwide 2.54 4.45 EUR
4 "TEENAGE MUTANT NINJA TURTLES - Nintendo NES - UK PAL A - Cart - VG COND" "Regno Unito" EBAY-GB 2016-03-22T01:39:02.000Z 2016-04-21T01:39:02.000Z Games StoreInventory 4000 EndedWithoutSales Worldwide 6.35 25.39 EUR
5 "TEENAGE MUTANT NINJA TURTLES - Nintendo NES - UK PAL A - Cart - VG COND" "Regno Unito" EBAY-GB 2016-03-22T01:38:33.000Z 2016-04-21T01:38:33.000Z Games StoreInventory 4000 EndedWithoutSales Worldwide 6.35 25.39 EUR
6 "TEENAGE MUTANT NINJA TURTLES NES Nintendo Controller Control Pad Overlay Sticker" "Regno Unito" EBAY-GB 2016-03-19T16:15:34.000Z 2016-04-18T16:15:34.000Z Controllers FixedPrice 1000 EndedWithoutSales Worldwide 2.54 4.45 EUR
7 "Jeu Nintendo NES Teenage Mutant Hero Turtles TMHT Tortue Ninja Version PAL FRA" Francia EBAY-FR 2016-04-15T11:18:00.000Z 2016-04-18T11:18:00.000Z Jeux AuctionWithBIN 5000 EndedWithoutSales Worldwide 21.0 10.0 EUR
8 "Teenage Mutant Ninja Turtles - NES" "Regno Unito" EBAY-GB 2016-04-10T16:57:08.000Z 2016-04-17T16:57:08.000Z Games Auction 4000 EndedWithSales Worldwide 11.43 13.34 EUR
9 "TMNT TEENAGE MUTANT NINJA TURTLES - NINTENDO NES PAL A MATTEL ITALIANO COMPLETO" Calle,Italia EBAY-IT 2016-03-17T19:21:38.000Z 2016-04-16T19:21:38.000Z Giochi StoreInventory 4000 EndedWithoutSales Worldwide 6.98 32.98 EUR
10 "Teenage Mutant Hero Ninja Turtles Game For Nintendo Nes PAL Boxed Complete" "Regno Unito" EBAY-GB 2016-04-16T06:35:36.000Z 2016-04-16T17:04:57.000Z Games StoreInventory 6000 EndedWithSales Europe 6.34 21.27 EUR
11 "TEENAGE MUTANT HERO TURTLES ( TORTUES NINJA ) - NINTENDO - NES" Francia EBAY-FR 2016-04-06T13:26:29.000Z 2016-04-16T13:26:29.000Z Jeux Auction 6000 EndedWithoutSales Worldwide 9.45 6.0 EUR
12 "Jeu Nintendo NES Teenage Mutant Hero Turtles TMHT Tortue Ninja Version PAL FRA" Francia EBAY-FR 2016-03-22T08:38:50.000Z 2016-04-12T20:24:35.000Z Jeux StoreInventory 5000 EndedWithSales Worldwide 9.0 9.99 EUR
13 "TEENAGE MUTANT NINJA TURTLES PALCOM NINTENDO NES 8 BIT ITALIANO MATTEL PAL A" Marghera,Italia EBAY-IT 2016-03-30T10:56:47.000Z 2016-04-12T01:16:32.000Z Giochi StoreInventory 6000 EndedWithoutSales AU 7.5 70.0 EUR
14 "TEENAGE Mutant Hero Ninja Turtles-TMNT-NINTENDO-NES completo di scatola e istruz" Catania,Italia EBAY-IT 2016-04-01T18:55:21.000Z 2016-04-11T18:55:21.000Z Giochi FixedPrice 5000 EndedWithoutSales IT 10.0 35.0 EUR
15 "Teenage Mutant Ninja Turtles - NES" "Regno Unito" EBAY-GB 2016-04-03T16:47:01.000Z 2016-04-10T16:47:01.000Z Games Auction 4000 EndedWithoutSales Worldwide 11.43 12.69 EUR
16 "006-TEENAGE MUTANT NINJA TURTLES NINTENDO NES- BOX MANUALE (buone condizioni)" Albairate,Italia EBAY-IT 2016-03-30T07:45:41.000Z 2016-04-09T07:45:41.000Z Giochi FixedPrice 5000 EndedWithoutSales Worldwide 10.0 24.9 EUR
17 "TEENAGE MUTANT NINJA TURTLES 2 NES Nintendo Controller Overlay Sticker" "Regno Unito" EBAY-GB 2016-03-09T18:35:37.000Z 2016-04-08T18:35:37.000Z Controllers FixedPrice 1000 EndedWithSales Worldwide 2.54 4.45 EUR
18 "TEENAGE MUTANT NINJA TURTLES 3 NES Nintendo Controller Overlay Sticker" "Regno Unito" EBAY-GB 2016-03-09T18:34:59.000Z 2016-04-08T18:34:59.000Z Controllers FixedPrice 1000 EndedWithoutSales Worldwide 2.54 4.45 EUR
19 "TEENAGE MUTANT NINJA TURTLES NINTENDO FAMICOM.NES. GIAPPONE IMPORT. RAPIDA" "Regno Unito" EBAY-IT 2016-03-04T07:49:54.000Z 2016-04-07T09:03:31.000Z Giochi FixedPrice 4000 EndedWithoutSales AU 0.0 22.34 EUR
20 "TEENAGE MUTANT NINJA TURTLES. NINTENDO FAMICOM.NES. JAPAN IMPORT.QUICK DELIVERY." "Regno Unito" EBAY-GB 2016-03-03T12:17:25.000Z 2016-04-07T08:57:47.000Z Games StoreInventory 4000 EndedWithSales AU 3.81 17.77 EUR
21 "Teenage Mutant Hero Turtles In Time IV SNES Game PAL Super NES Nintendo Ninja 4" "Regno Unito" EBAY-GB 2016-03-19T20:21:04.000Z 2016-04-04T20:22:50.000Z Games FixedPrice 6000 EndedWithSales Worldwide 13.34 76.21 EUR
22 "Teenage Mutant Ninja Turtles Nintendo Nes Cartuccia Italiana Pal A" Milano,Italia EBAY-IT 2016-01-14T19:44:53.000Z 2016-03-31T18:57:25.000Z Giochi StoreInventory 4000 EndedWithSales Worldwide 3.5 15.19 EUR
23 "TEENAGE MUTANT HERO TURTLES - Nintendo Entertainment System (NES) Game (NINJA)" "Regno Unito" EBAY-GB 2016-03-25T19:27:08.000Z 2016-03-28T19:27:08.000Z Games Auction 4000 EndedWithSales Worldwide 7.62 11.43 EUR
24 "TEENAGE MUTANT HERO TURTLES ( TORTUES NINJA ) - NINTENDO - NES" Francia EBAY-FR 2016-03-17T16:53:27.000Z 2016-03-27T16:53:27.000Z Jeux Auction 6000 EndedWithoutSales Worldwide 9.45 7.0 EUR
25 "TEENAGE Mutant Hero Ninja Turtles-TMNT-NINTENDO-NES completo di scatola e istruz" Catania,Italia EBAY-IT 2016-03-16T16:35:58.000Z 2016-03-26T16:35:58.000Z Giochi FixedPrice 5000 EndedWithoutSales IT 10.0 35.0 EUR
26 "TEENAGE MUTANT NINJA TURTLES NES FRIDGE MAGNET IMAN NEVERA" Spagna EBAY-ES 2016-02-12T22:26:19.000Z 2016-03-26T14:01:28.000Z Imanes StoreInventory 1000 EndedWithoutSales AU 1.3 1.99 EUR
