Title,Company,Rarity,Price ($)
Volleyball,Nintendo,C,2
Wacky Races,Atlus,B+,7
Wall Street Kid,Sofel,B-,3
Wally Bear and the No! Gang,American Video,A-,10
Wario's Woods,Nintendo,B,6
Wayne Gretzky Hockey,T*HQ,C+,2
Wayne's World,T*HQ,B+,8
WCW: World Championship Wrestling,FCI,D,2
Werewolf,Data East,C,1
Wheel of Fortune,Gametek,C-,3
Wheel of Fortune with Vanna White,Gametek,B,5
Wheel of Fortune: Family Edition,Gametek,C,4
Wheel of Fortune: Junior Edition,Gametek,C+,3
Where in Time is Carmen San Diego?,Konami,B-,5
Where's Waldo?,T*HQ,C+,3
Who Framed Roger Rabbit?,LJN,C+,4
Whomp 'Em,Jaleco,B,4
Widget,Atlus,B,5
Wild Gunman (Gun Required),Nintendo,C+,4
Willow,Capcom,C+,3
"Win, Lose, or Draw",Hi Tech,C+,2
Winter Games,Acclaim,C+,3
Wizardry,Nexoft,C+,6
Wizardry 2: Knight of Diamonds,Ascii,B,4
Wizards and Warriors,Acclaim,D,3
Wizards and Warriors 2: Ironsword,Acclaim,D,3
Wizards and Warriors 3,Acclaim,B-,7
Wolverine,LJN,B-,5
World Champ,Romstar,B+,3
World Class Track Meet (Power Pad),Nintendo,D,2
World Cup Soccer,Nintendo,C-,4
World Games,Milton Bradley,B-,3
Wrath of the Black Manta,Taito,C+,3
Wrecking Crew,Nintendo,C+,4
WURM,Asmik,B,3
WWF Wrestlemania,Acclaim,D,2
WWF Wrestlemania Challenge,LJN,C+,3
WWF King of the Ring,Acclaim,B+,8
WWF Steel Cage,LJN,B-,2
Xenophobe,Sunsoft,C+,3
Xevious,Bandai,C+,3
Xexyz,Hudson,C+,3
Yo! Noid,Capcom,C+,3
Yoshi,Nintendo,C,5
Yoshi's Cookie,Nintendo,C+,4
Young Indiana Jones,Jaleco,B+,7
Zanac,FCI,C+,3
Zelda II The Adventure of Link,Nintendo,D,7
Zen Intergalactic Ninja,Konami,B,5
Zoda's Revenge: StarTropics 2,Nintendo,B-,6
Zombie Nation,Meldac,A-,7
